aa	e~e
cognizances	pUrNa~jAnakAra~honA{@s}
cognizance's	pUrNa~jAnakAra~honA{@vib:kA}
cognizanter	pUrNa~jAnakAra~vAlA~{wara}
cognizantest	pUrNa~jAnakAra~vAlA~{wama}
cognizant	pUrNa~jAnakAra~vAlA[-]
cognoscente	bAvarcI{@s}
cognoscente's	bAvarcI{ba.}{@vib:kA}
cognoscenti	bAvarcI{0}
cognoscenti's	bAvarcI{@vib:kA}
cogs'	cakraxanwa{ba.}{@vib:kA}
cogs	cakraxanwa~{@s}
cog's	cakraxanwa{@vib:kA}
cogway	cakraxanwa{0}
cogways'	cakraxanwa{ba.}{@vib:kA}
cogways	cakraxanwa{@s}
cogway's	cakraxanwa{@vib:kA}
cohabited	pawi-pawni~kI~waraha~rahanA~{@ed/@en}
cohabiting	pawi-pawni~kI~waraha~rahanA~{@ing}
cohabit	pawi-pawni~kI~waraha~rahanA{0}
cohabits	pawi-pawni~kI~waraha~rahanA~{@s}
co-heir	saha-vArisa
cohered	saMsakwa~honA^anurUpa~honA~{@ed/@en}
coherence	saMsakwawA{0}
coherences'	saMsakwawA{ba.}{@vib:kA}
coherences	saMsakwawA{@s}
coherence's	saMsakwawA{@vib:kA}
coherencies'	saMsakwawA{ba.}{@vib:kA}
coherencies	saMsakwawA{@s}
coherency	saMsakwawA{0}
coherency's	saMsakwawA{@vib:kA}
coherenter	sambaxXa^samaJane~meM~sarala~honA~{wara}
coherentest	sambaxXa^samaJane~meM~sarala~honA~{wama}
coherently	saMsakwawA~se
coherent	sambaxXa^samaJane~meM~sarala~honA[-]
cohere	saMsakwa~honA^anurUpa~honA{0}
coheres	saMsakwa~honA^anurUpa~honA~{@s}
cohering	saMsakwa~honA^anurUpa~honA~{@ing}
cohesion	saMsaFjana{0}
cohesions'	saMsaFjana{ba.}{@vib:kA}
cohesions	saMsaFjana{@s}
cohesion's	saMsaFjana{@vib:kA}
cohesively	saMsajakawA~se
cohesiveness	saMsikwa
cohesiver	saMsaFjaka~{wara}
cohesive	saMsaFjaka[-]
cohesivest	saMsaFjaka~{wama}
cohort	sahayoga{0}
cohorts'	sahayoga{ba.}{@vib:kA}
cohorts	sahayoga{@s}
cohort's	sahayoga{@vib:kA}
coiled	valayaka/lapeta/lapetanA~{@ed/@en}
coiling	valayaka/lapeta/lapetanA~{@ing}
coils'	valayaka/lapeta/lapetanA{ba.}{@vib:kA}
coils	valayaka/lapeta/lapetanA~{@s}
coil's	valayaka/lapeta/lapetanA{@vib:kA}
coil	valayaka/lapeta/lapetanA{0}
coinage	sikkA^gaDanA{0}
coinages'	sikkA^gaDanA{ba.}{@vib:kA}
coinages	sikkA^gaDanA{@s}
coinage's	sikkA^gaDanA{@vib:kA}
coincided	eka~sAWa~padanA^eka~jEsA~honA~{@ed/@en}
coincide	eka~sAWa~padanA^eka~jEsA~honA{0}
coincidence	saMyoga{0}
coincidences'	saMyoga{ba.}{@vib:kA}
coincidences	saMyoga{@s}
coincidence's	saMyoga{@vib:kA}
coincidentaler	saMyogavaSa~{wara}
coincidentalest	saMyogavaSa~{wama}
coincidentally	saMyoga~se
coincidental	saMyogavaSa[-]
coincidenter	saMyoga~{wara}
coincidentest	saMyoga~{wama}
coincident	saMyoga[-]
coincides	eka~sAWa~padanA^eka~jEsA~honA~{@s}
coinciding	eka~sAWa~padanA^eka~jEsA~honA~{@ing}
coined	sikkA/gaDanA^PAyaxA~karanA~{@ed/@en}
coining	sikkA/gaDanA^PAyaxA~karanA~{@ing}
coin	sikkA/gaDanA^PAyaxA~karanA{0}
coins'	sikkA/gaDanA^PAyaxA~karanA{ba.}{@vib:kA}
coins	sikkA/gaDanA^PAyaxA~karanA~{@s}
coin's	sikkA/gaDanA^PAyaxA~karanA{@vib:kA}
coir	nAriyala-jatA{0}
coirs'	nAriyala-jatA{ba.}{@vib:kA}
coirs	nAriyala-jatA{@s}
coir's	nAriyala-jatA{@vib:kA}
colander	Calan
cold-bloodeder	TaNde~KUnavAlA[nirxayI]^TaNde~KUnavAlA~{wara}
coldbloodeder	TaNde~KUnavAlA[nirxayI]^TaNde~KUnavAlA~{wara}
cold-bloodedest	TaNde~KUnavAlA[nirxayI]^TaNde~KUnavAlA~{wama}
coldbloodedest	TaNde~KUnavAlA[nirxayI]^TaNde~KUnavAlA~{wama}
cold-blooded	TaNde~KUnavAlA[nirxayI]^TaNde~KUnavAlA[-]
coldblooded	TaNde~KUnavAlA[nirxayI]^TaNde~KUnavAlA[-]
colded	TaNdA^niruwsAhI~{@ed/@en}
colded	TaNda^TaNdA[>jukAma]~{@ed/@en}
colder	TaNdA^niruwsAhI~{wara}
colder	TaNda^TaNdA[>jukAma]~{wara}
coldest	TaNdA^niruwsAhI~{wama}
coldest	TaNda^TaNdA[>jukAma]~{wama}
cold-hearteder	hqxayahIna~{wara}
coldhearteder	hqxayahIna~{wara}
cold-heartedest	hqxayahIna~{wama}
coldheartedest	hqxayahIna~{wama}
cold-hearted	hqxayahIna[-]
coldhearted	hqxayahIna[-]
colding	TaNdA^niruwsAhI~{@ing}
colding	TaNda^TaNdA[>jukAma]~{@ing}
coldly	binA~uwsAha~ke
coldnesses'	upekRA{ba.}{@vib:kA}
coldnesses	upekRA{@s}
coldness's	upekRA{@vib:kA}
coldness	upekRA{0}
colds'	TaNdA^niruwsAhI{ba.}{@vib:kA}
colds	TaNdA^niruwsAhI~{@s}
cold's	TaNdA^niruwsAhI{@vib:kA}
colds	TaNda^TaNdA[>jukAma]~{@s}
colds'	TaNda^TaNdA[>jukAma]{@s}{@vib:kA}
cold's	TaNda^TaNdA[>jukAma]{@vib:kA}
cold	TaNdA^niruwsAhI{0}
cold	TaNda^TaNdA[>jukAma]{0}
coleslaw	eka~prakAra~kI~BAjI{0}
coleslaws'	eka~prakAra~kI~BAjI{ba.}{@vib:kA}
coleslaws	eka~prakAra~kI~BAjI{@s}
coleslaw's	eka~prakAra~kI~BAjI{@vib:kA}
colickier	sUla~maroda~vAlA{peta~kA~xarxa~sambanXI}~{wara}
colickiest	sUla~maroda~vAlA{peta~kA~xarxa~sambanXI}~{wama}
colicky	sUla~maroda~vAlA{peta~kA~xarxa~sambanXI}[-]
colics'	sUla~maroda{peta~kA~xarxa}{ba.}{@vib:kA}
colics	sUla~maroda{peta~kA~xarxa}{@s}
colic's	sUla~maroda{peta~kA~xarxa}{@vib:kA}
colic	sUla~maroda{peta~kA~xarxa}{0}
colitises'	vqhaxAnwra-SoWa{ba.}{@vib:kA}
colitises	vqhaxAnwra-SoWa{@s}
colitis's	vqhaxAnwra-SoWa{@vib:kA}
colitis	vqhaxAnwra-SoWa{0}
collaborated	sahayoga~karanA^xeSaxroha~karanA~{@ed/@en}
collaborate	sahayoga~karanA^xeSaxroha~karanA{0}
collaborates	sahayoga~karanA^xeSaxroha~karanA~{@s}
collaborating	sahayoga~karanA^xeSaxroha~karanA~{@ing}
collaborationist	sahayogI{0}
collaborationists'	sahayogI{ba.}{@vib:kA}
collaborationists	sahayogI{@s}
collaborationist's	sahayogI{@vib:kA}
collaboration	sahayoga{0}
collaborations'	sahayoga{ba.}{@vib:kA}
collaborations	sahayoga{@s}
collaboration's	sahayoga{@vib:kA}
collaboratively	sahayoga~se
collaborativer	sahayoga~{wara}
collaborative	sahayoga[-]
collaborativest	sahayoga~{wama}
collaborator	sahayogI{0}
collaborators'	sahayogI{ba.}{@vib:kA}
collaborators	sahayogI{@s}
collaborator's	sahayogI{@vib:kA}
collaboratory	sahayogI
collage	jodaciwra{0}
collage	kolAja{0}
collages	jodaciwra{@s}
collages'	jodaciwra{@s}{@vib:kA}
collage's	jodaciwra{@vib:kA}
collages'	kolAja{ba.}{@vib:kA}
collages	kolAja{@s}
collage's	kolAja{@vib:kA}
collapsabler	simatanevAlA~{wara}
collapsable	simatanevAlA[-]
collapsablest	simatanevAlA~{wama}
collapse	Daha~jAnA[*>simata~jAnA`]{0}
collapsed	Daha~jAnA[*>simata~jAnA`]~{@ed/@en}
collapsed	viXvaMsa^asaPalawA~{@ed/@en}
collapses	Daha~jAnA[*>simata~jAnA`]~{@s}
collapses'	viXvaMsa^asaPalawA{ba.}{@vib:kA}
collapses	viXvaMsa^asaPalawA~{@s}
collapse's	viXvaMsa^asaPalawA{@vib:kA}
collapse	viXvaMsa^asaPalawA{0}
collapsibler	simatanevAlA~{wara}
collapsible	simatanevAlA[-]
collapsiblest	simatanevAlA~{wama}
collapsing	Daha~jAnA[*>simata~jAnA`]~{@ing}
collapsing	viXvaMsa^asaPalawA~{@ing}
collar-bone	hazsalI
collared	garaxanI^gale~kA~pattA~{@ed/@en}
collared	kAlara~[se~pakadanA]~{@ed/@en}
collar	garaxanI^gale~kA~pattA{0}
collaring	garaxanI^gale~kA~pattA~{@ing}
collaring	kAlara~[se~pakadanA]~{@ing}
collar	kAlara~[se~pakadanA]{0}
collars'	garaxanI^gale~kA~pattA{ba.}{@vib:kA}
collars	garaxanI^gale~kA~pattA~{@s}
collar's	garaxanI^gale~kA~pattA{@vib:kA}
collars	kAlara~[se~pakadanA]~{@s}
collars'	kAlara~[se~pakadanA]{@s}{@vib:kA}
collar's	kAlara~[se~pakadanA]{@vib:kA}
collated	saBI~jagaha~se~sUcanA~ekawra~karanA~{@ed/@en}
collateraler	sAWa-sAWa~kA^eka~hI~jAwI~kA~{wara}
collateralest	sAWa-sAWa~kA^eka~hI~jAwI~kA~{wama}
collateral	sAWa-sAWa~kA^eka~hI~jAwI~kA[-]
collaterals'	sAWa-sAWa~kA^eka~hI~jAwI~kA{ba.}{@vib:kA}
collaterals	sAWa-sAWa~kA^eka~hI~jAwI~kA{@s}
collateral's	sAWa-sAWa~kA^eka~hI~jAwI~kA{@vib:kA}
collate	saBI~jagaha~se~sUcanA~ekawra~karanA{0}
collates	saBI~jagaha~se~sUcanA~ekawra~karanA~{@s}
collating	saBI~jagaha~se~sUcanA~ekawra~karanA~{@ing}
collation	halkA~KAnA{0}
collations'	halkA~KAnA{ba.}{@vib:kA}
collations	halkA~KAnA{@s}
collation's	halkA~KAnA{@vib:kA}
colleague	sahakarmI{0}
colleague	sahakAryakarwA{0}
colleagues	sahakarmI{@s}
colleagues'	sahakarmI{@s}{@vib:kA}
colleague's	sahakarmI{@vib:kA}
colleagues'	sahakAryakarwA{ba.}{@vib:kA}
colleagues	sahakAryakarwA{@s}
colleague's	sahakAryakarwA{@vib:kA}
collectabler	safgraha~karane~yogya~{wara}
collectable	safgraha~karane~yogya[-]
collectablest	safgraha~karane~yogya~{wama}
collect	CotI~prArWanA/safgrahIwa~karanA^ekawra~honA{0}
collected	CotI~prArWanA/safgrahIwa~karanA^ekawra~honA~{@ed/@en}
collected	pAnA[<safgrahIwa~karanA`]~{@ed/@en}[-]
collectibler	safgraha~karane~yogya~{wara}
collectible	safgraha~karane~yogya[-]
collectiblest	safgraha~karane~yogya~{wama}
collecting	CotI~prArWanA/safgrahIwa~karanA^ekawra~honA~{@ing}
collecting	pAnA[<safgrahIwa~karanA`]~{@ing}
collection	saFcayana^saFcaya{0}
collection	safgrahaNa^ikatTA~nikAlanA{0}
collections	saFcayana^saFcaya{@s}
collections'	saFcayana^saFcaya{@s}{@vib:kA}
collection's	saFcayana^saFcaya{@vib:kA}
collections'	safgrahaNa^ikatTA~nikAlanA{ba.}{@vib:kA}
collections	safgrahaNa^ikatTA~nikAlanA{@s}
collection's	safgrahaNa^ikatTA~nikAlanA{@vib:kA}
collectively	sAmUihaka~rUpa~se
collectiver	sAmUhika/samUha~{wara}
collective	sAmUhika[-]
collective	sAmUhika/samUha[-]
collectives'	sAmUhika/samUha{ba.}{@vib:kA}
collectives	sAmUhika/samUha{@s}
collective's	sAmUhika/samUha{@vib:kA}
collectives	sAmUhika{@s}
collectives'	sAmUhika{@s}{@vib:kA}
collective's	sAmUhika{@vib:kA}
collectivest	sAmUhika/samUha~{wama}
collectivised	sAmUhika~kara~xenA~{@ed/@en}
collectivise	sAmUhika~kara~xenA{0}
collectivises	sAmUhika~kara~xenA~{@s}
collectivising	sAmUhika~kara~xenA~{@ing}
collectivism	samUhavAxa{0}
collectivisms'	samUhavAxa{ba.}{@vib:kA}
collectivisms	samUhavAxa{@s}
collectivism's	samUhavAxa{@vib:kA}
collectivist	samUhavAx^samUhavAxI
collectivization	sAmUihakIkaraNa
collectivized	sAmUhika~kara~xenA~{@ed/@en}
collectivize	sAmUhika~kara~xenA{0}
collectivizes	sAmUhika~kara~xenA~{@s}
collectivizing	sAmUhika~kara~xenA~{@ing}
collectorate	kalaktarI/samAharwAlaya
collector	safgrahakarwA^jilAXikArI{0}
collectors'	safgrahakarwA^jilAXikArI{ba.}{@vib:kA}
collectors	safgrahakarwA^jilAXikArI{@s}
collector's	safgrahakarwA^jilAXikArI{@vib:kA}
collect	pAnA[<safgrahIwa~karanA`]{0}
collects'	CotI~prArWanA/safgrahIwa~karanA^ekawra~honA{ba.}{@vib:kA}
collects	CotI~prArWanA/safgrahIwa~karanA^ekawra~honA~{@s}
collect's	CotI~prArWanA/safgrahIwa~karanA^ekawra~honA{@vib:kA}
collects	pAnA[<safgrahIwa~karanA`]~{@s}
collects'	pAnA[<safgrahIwa~karanA`]{@s}{@vib:kA}
collect's	pAnA[<safgrahIwa~karanA`]{@vib:kA}
colleen	javAna~ladakI{0}
colleens'	javAna~ladakI{ba.}{@vib:kA}
colleens	javAna~ladakI{@s}
colleen's	javAna~ladakI{@vib:kA}
college	koYleja~[ke~vixyArWI~waWA~prAXyApaka]{0}
college	mahAvixyAlaya{0}
colleges	koYleja~[ke~vixyArWI~waWA~prAXyApaka]{@s}
colleges'	koYleja~[ke~vixyArWI~waWA~prAXyApaka]{@s}{@vib:kA}
college's	koYleja~[ke~vixyArWI~waWA~prAXyApaka]{@vib:kA}
colleges'	mahAvixyAlaya{ba.}{@vib:kA}
colleges	mahAvixyAlaya{@s}
college's	mahAvixyAlaya{@vib:kA}
collegiater	sahaCAwra/CAwrA~{wara}
collegiate	sahaCAwra/CAwrA[-]
collegiates'	sahaCAwra/CAwrA{ba.}{@vib:kA}
collegiates	sahaCAwra/CAwrA{@s}
collegiate's	sahaCAwra/CAwrA{@vib:kA}
collegiatest	sahaCAwra/CAwrA~{wama}
collided	takkara~{@ed/@en}
collides	takkara~{@s}
collide	takkara{0}
colliding	takkara~{@ing}
collie	eka~prakAra~kA~kuwwA{0}
collieries'	koyale~kI~KAna{ba.}{@vib:kA}
collieries	koyale~kI~KAna{@s}
collier	koyale~kI~KAna~me~kAma~karanevAlA{0}
colliers'	koyale~kI~KAna~me~kAma~karanevAlA{ba.}{@vib:kA}
colliers	koyale~kI~KAna~me~kAma~karanevAlA{@s}
collier's	koyale~kI~KAna~me~kAma~karanevAlA{@vib:kA}
colliery	koyale~kI~KAna{0}
colliery's	koyale~kI~KAna{@vib:kA}
collies'	eka~prakAra~kA~kuwwA{ba.}{@vib:kA}
collies	eka~prakAra~kA~kuwwA{@s}
collie's	eka~prakAra~kA~kuwwA{@vib:kA}
collisions'	takkara^vicAroM~meM~takkara{ba.}{@vib:kA}
collisions	takkara^vicAroM~meM~takkara{@s}
collision's	takkara^vicAroM~meM~takkara{@vib:kA}
collision	takkara^vicAroM~meM~takkara{0}
collocated	sAWa~meM~prayoga~karanA{BARA~sambanXI}~{@ed/@en}
collocate	sAWa~meM~prayoga~karanA{BARA~sambanXI}{0}
collocates	sAWa~meM~prayoga~karanA{BARA~sambanXI}~{@s}
collocating	sAWa~meM~prayoga~karanA{BARA~sambanXI}~{@ing}
collocation	sAWa~sAWa~AnevAle~Sabxa{0}
collocations'	sAWa~sAWa~AnevAle~Sabxa{ba.}{@vib:kA}
collocations	sAWa~sAWa~AnevAle~Sabxa{@s}
collocation's	sAWa~sAWa~AnevAle~Sabxa{@vib:kA}
colloquial	bolacAla~sambanXI[-]
colloquialer	bolacAla~sambanXI~{wara}
colloquialest	bolacAla~sambanXI~{wama}
colloquialism	bolacAla~kI~BARA{0}
colloquialisms'	bolacAla~kI~BARA{ba.}{@vib:kA}
colloquialisms	bolacAla~kI~BARA{@s}
colloquialism's	bolacAla~kI~BARA{@vib:kA}
colloquially	bolacAla~kI~BARA~meM
colloquys'	svayaM~se~bAwa~karanA{ba.}{@vib:kA}
colloquys	svayaM~se~bAwa~karanA{@s}
colloquy's	svayaM~se~bAwa~karanA{@vib:kA}
colloquy	svayaM~se~bAwa~karanA{0}
colluded	sAzTa-gAzTa~{@ed/@en}
collude	sAzTa-gAzTa{0}
colludes	sAzTa-gAzTa~{@s}
colluding	sAzTa-gAzTa~{@ing}
collusion	milI~Bagawa{0}
collusions'	milI~Bagawa{ba.}{@vib:kA}
collusions	milI~Bagawa{@s}
collusion's	milI~Bagawa{@vib:kA}
cologne	kolona
colonel	karnala{0}
colonel	karnala{0}
colonels'	karnala{ba.}{@vib:kA}
colonels	karnala{@s}
colonels	karnala{@s}
colonels'	karnala{@s}{@vib:kA}
colonel's	karnala{@vib:kA}
colonel's	karnala{@vib:kA}
colonialer	upaniveSI~{wara}
colonialest	upaniveSI~{wama}
colonialisms'	upaniveSI~sawwA{ba.}{@vib:kA}
colonialisms	upaniveSI~sawwA{@s}
colonialism's	upaniveSI~sawwA{@vib:kA}
colonialism	upaniveSI~sawwA{0}
colonial	upaniveSI[-]
colonial	upaniveSIya^upaniveSI[-]
colonies'	baswI^upaniveSa{ba.}{@vib:kA}
colonies	baswI^upaniveSa{@s}
colonies	baswI^upaniveSa{@s}
colonies'	baswI^upaniveSa{@s}{@vib:kA}
colonisation	upaniveSa~basAnA
colonise	naI~baswI~basAnA
colonists'	upaniveSa~kA~rahanevAlA{ba.}{@vib:kA}
colonists	upaniveSa~kA~rahanevAlA{@s}
colonist's	upaniveSa~kA~rahanevAlA{@vib:kA}
colonist	upaniveSa~kA~rahanevAlA{0}
colonitises'	vqhaxAnwra-SoWa{ba.}{@vib:kA}
colonitises	vqhaxAnwra-SoWa{@s}
colonitis's	vqhaxAnwra-SoWa{@vib:kA}
colonitis	vqhaxAnwra-SoWa{0}
colonization	upaniveSaNa/nagara~nirmANa
colonize	upaniveSa~basAnA
colon	kolana{:}{0}
colonnade	swamBAval
colons'	kolana{:}{ba.}{@vib:kA}
colons	kolana{:}{@s}
colon's	kolana{:}{@vib:kA}
colony	baswI^upaniveSa{0}
colony	baswI^upaniveSa{0}
colony's	baswI^upaniveSa{@vib:kA}
colony's	baswI^upaniveSa{@vib:kA}
colored	rafga~{@ed/@en}[-]
colored	rafga/rafganA~{@ed/@en}
colorful	rafgIna[-]
coloring	rafga~{@ing}
coloring	rafga/rafganA~{@ing}
colorless	rafgahIna
color	rafga{0}
color	rafga/rafganA{0}
colors'	rafga/rafganA{ba.}{@vib:kA}
colors	rafga/rafganA~{@s}
color's	rafga/rafganA{@vib:kA}
colors	rafga~{@s}
colors'	rafga{@s}{@vib:kA}
color's	rafga{@vib:kA}
colossaler	xIrGakAya/bahuwa~badA~{wara}
colossalest	xIrGakAya/bahuwa~badA~{wama}
colossal	xIrGakAya/bahuwa~badA[-]
colossi's	xIrGakAya~vyakwi[vaswu]{ba.}{@vib:kA}
colossi	xIrGakAya~vyakwi[vaswu]{@s}
colossuses'	xIrGakAya~vyakwi[vaswu]{ba.}{@vib:kA}
colossuses	xIrGakAya~vyakwi[vaswu]{@s}
colossus's	xIrGakAya~vyakwi[vaswu]{@vib:kA}
colossus	xIrGakAya~vyakwi[vaswu]{0}
coloured	rafga~{@ed/@en}[-]
coloured	rafga/rafganA~{@ed/@en}
colourful	rafgIna[-]
colouring	rafga~{@ing}
colouring	rafga/rafganA~{@ing}
colourless	rafgahIna
colour	rafga{0}
colour	rafga/rafganA{0}
colours'	rafga/rafganA{ba.}{@vib:kA}
colours	rafga/rafganA~{@s}
colour's	rafga/rafganA{@vib:kA}
colours	rafga~{@s}
colours'	rafga{@s}{@vib:kA}
colour's	rafga{@vib:kA}
colt	baCedA{Gode~kA}{0}
colt	baCerA/anuBavahIna~KilAdI{0}
colts'	baCedA{Gode~kA}{ba.}{@vib:kA}
colts	baCedA{Gode~kA}{@s}
colt's	baCedA{Gode~kA}{@vib:kA}
colts	baCerA/anuBavahIna~KilAdI{@s}
colts'	baCerA/anuBavahIna~KilAdI{@s}{@vib:kA}
colt's	baCerA/anuBavahIna~KilAdI{@vib:kA}
columnist	swamBaleKaka
columns'	swamBa^sEnyaxala{ba.}{@vib:kA}
columns	swamBa^sEnyaxala{@s}
column's	swamBa^sEnyaxala{@vib:kA}
columns	swamBa{@s}
columns'	swamBa{@s}{@vib:kA}
column's	swamBa{@vib:kA}
column	swamBa{0}
column	swamBa^sEnyaxala{0}
col	wafga~GAtI
coma	behoSI~kI~nIMxa{0}
comas'	behoSI~kI~nIMxa{ba.}{@vib:kA}
comas	behoSI~kI~nIMxa{@s}
coma's	behoSI~kI~nIMxa{@vib:kA}
comatose	behoSa^sammUyYarCawa
combatanter	yoxXA~{wara}
combatantest	yoxXA~{wama}
combatants'	yoxXA{ba.}{@vib:kA}
combatants	yoxXA{@s}
combatant's	yoxXA{@vib:kA}
combatant	yoxXA[-]
combated	jUJanA~{@ed/@en}
combated	yuxXa/viroXa~karanA~{@ed/@en}
combating	jUJanA~{@ing}
combating	yuxXa/viroXa~karanA~{@ing}
combat	jUJanA{0}
combats	jUJanA~{@s}
combats'	jUJanA{@s}{@vib:kA}
combat's	jUJanA{@vib:kA}
combats'	yuxXa/viroXa~karanA{ba.}{@vib:kA}
combats	yuxXa/viroXa~karanA~{@s}
combat's	yuxXa/viroXa~karanA{@vib:kA}
combat	yuxXa/viroXa~karanA{0}
combed	kafGA^kukkutaSiKA~{@ed/@en}
combed	kafGI`~{@ed/@en}
combination	saMyojana^banxiSa{afkoM~kI}{0}
combination	saMyojana^miSraNa{0}
combinations'	saMyojana^banxiSa{afkoM~kI}{ba.}{@vib:kA}
combinations	saMyojana^banxiSa{afkoM~kI}{@s}
combination's	saMyojana^banxiSa{afkoM~kI}{@vib:kA}
combinations	saMyojana^miSraNa{@s}
combinations'	saMyojana^miSraNa{@s}{@vib:kA}
combination's	saMyojana^miSraNa{@vib:kA}
combinatorics	sAhacayaREP
combined	milanA[milAnA]~{@ed/@en}
combined	saMyukwa^miSriwa~karanA~{@ed/@en}
combine	milanA[milAnA]{0}
combine	saMyukwa^miSriwa~karanA{0}
combines'	milanA[milAnA]{ba.}{@vib:kA}
combines	milanA[milAnA]~{@s}
combine's	milanA[milAnA]{@vib:kA}
combines	saMyukwa^miSriwa~karanA~{@s}
combines'	saMyukwa^miSriwa~karanA{@s}{@vib:kA}
combine's	saMyukwa^miSriwa~karanA{@vib:kA}
combing	kafGA^kukkutaSiKA~{@ing}
combing	kafGI`~{@ing}
combining	milanA[milAnA]~{@ing}
combining	saMyukwa^miSriwa~karanA~{@ing}
comb	kafGA^kukkutaSiKA{0}
comb	kafGI`{0}
combo	safgIwa-maNdal^sammiSraNa
combs	kafGA^kukkutaSiKA~{@s}
combs	kafGI`~{@s}
combustibler	xahanaSIla~{wara}
combustiblest	xahanaSIla~{wama}
combustibles'	xahanaSIla{ba.}{@vib:kA}
combustibles	xahanaSIla{@s}
combustible's	xahanaSIla{@vib:kA}
combustible	xahanaSIla[-]
combustions'	xahana{ba.}{@vib:kA}
combustions	xahana{@s}
combustion's	xahana{@vib:kA}
combustion	xahana{0}
come-along	Age~baDa
come	AnA~{0/en}
come	AnA^yAwrA~karanA{0}~{@en}
comebacks'	vApasI{ba.}{@vib:kA}
comebacks	vApasI{@s}
comeback's	vApasI{@vib:kA}
comeback	vApasI{0}
comedian	hazsAnevAlA{0}
comedians'	hazsAnevAlA{ba.}{@vib:kA}
comedians	hazsAnevAlA{@s}
comedian's	hazsAnevAlA{@vib:kA}
comedienne	hAsya~aBinewr
comedies'	harRapraXAna~nAtaka{ba.}{@vib:kA}
comedies	harRapraXAna~nAtaka{@s}
comedies	vinoxapUrNa{@s}
comedies'	vinoxapUrNa{@s}{@vib:kA}
comedy	harRapraXAna~nAtaka{0}
comedy's	harRapraXAna~nAtaka{@vib:kA}
comedy	suKAnwa
comedy's	vinoxapUrNa{@vib:kA}
comely	manorama
come-on	A{kI~ora}{0}
comeon	A{kI~ora}{0}
come-ons'	A{kI~ora}{ba.}{@vib:kA}
comeons'	A{kI~ora}{ba.}{@vib:kA}
come-ons	A{kI~ora}{@s}
comeons	A{kI~ora}{@s}
come-on's	A{kI~ora}{@vib:kA}
comeon's	A{kI~ora}{@vib:kA}
comer	Aganwuka^prawyAS
comes	AnA~{@s}
comes	AnA^yAwrA~karanA~{@s}
come-to-light	prakASa~meM~A[lA]
comets'	XUmrakewu{ba.}{@vib:kA}
comets	XUmrakewu{@s}
comet's	XUmrakewu{@vib:kA}
comet	XUmrakewu{0}
comfortable	ArAmaxAyaka[-]
comfortabler	suKaxAI~{wara}
comfortablest	suKaxAI~{wama}
comfortable	suKaxAI[-]
comfortably	ArAma_se
comfort	ArAma/ArAma~xenA{0}
comforted	ArAma/ArAma~xenA~{@ed/@en}
comforted	sAnwvanA^ArAma~{@ed/@en}
comforting	ArAma/ArAma~xenA~{@ing}
comforting	sAnwvanA^ArAma~{@ing}
comfortless	beArAma
comfort	sAnwvanA^ArAma{0}
comforts'	ArAma/ArAma~xenA{ba.}{@vib:kA}
comforts	ArAma/ArAma~xenA~{@s}
comfort's	ArAma/ArAma~xenA{@vib:kA}
comforts	sAnwvanA^ArAma~{@s}
comforts'	sAnwvanA^ArAma{@s}{@vib:kA}
comfort's	sAnwvanA^ArAma{@vib:kA}
comfy	ArAmaxeha
comicaler	TaToliyA~{wara}
comicalest	TaToliyA~{wama}
comical	TaToliyA[-]
comicer	hAsyapraxa~{wara}
comicest	hAsyapraxa~{wama}
comic	hAsyapraxa[-]
comics'	hAsyapraxa{ba.}{@vib:kA}
comics	hAsyapraxa{@s}
comic's	hAsyapraxa{@vib:kA}
coming	AnA~{@ing}
coming	AnA^yAwrA~karanA~{@ing}[-]
cominger	BAvI/Agamana~{wara}
comingest	BAvI/Agamana~{wama}
comings	BAvI/Agamana{@s}
comity	sOhArxa
comma	kOmA~/alpavirAma
commandant	senApawi{0}
commandants'	senApawi{ba.}{@vib:kA}
commandants	senApawi{@s}
commandant's	senApawi{@vib:kA}
commanded	Sakwi^SAsana^AjFA^tukadI~{@ed/@en}
commanded	SAsana^AjFA~{@ed/@en}
commandeer	jabwa~kara~lenA
commander-in-chief	kamANdara-ina-cIPa
commander	kamANdara{0}
commander	kamANdara{senA~kA~aPasara}{0}
commanders'	kamANdara{senA~kA~aPasara}{ba.}{@vib:kA}
commanders	kamANdara{senA~kA~aPasara}{@s}
commander's	kamANdara{senA~kA~aPasara}{@vib:kA}
commanders	kamANdara{@s}
commanders'	kamANdara{@s}{@vib:kA}
commander's	kamANdara{@vib:kA}
commanding	Sakwi^SAsana^AjFA^tukadI~{@ing}
commanding	SAsana^AjFA~{@ing}
commandment	AjFA/ISvara~kI~AjFA{0}
commandments'	AjFA/ISvara~kI~AjFA{ba.}{@vib:kA}
commandments	AjFA/ISvara~kI~AjFA{@s}
commandment's	AjFA/ISvara~kI~AjFA{@vib:kA}
commandoes'	kamANdo{ba.}{@vib:kA}
commandoes	kamANdo{@s}
commando	kamANdo{0}
commandos'	kamANdo{ba.}{@vib:kA}
commandos	kamANdo{@s}
commando's	kamANdo{@vib:kA}
command	Sakwi^SAsana^AjFA^tukadI{0}
command	SAsana^AjFA{0}
commands	Sakwi^SAsana^AjFA^tukadI~{@s}
commands'	Sakwi^SAsana^AjFA^tukadI{@s}{@vib:kA}
command's	Sakwi^SAsana^AjFA^tukadI{@vib:kA}
commands'	SAsana^AjFA{ba.}{@vib:kA}
commands	SAsana^AjFA~{@s}
command's	SAsana^AjFA{@vib:kA}
